"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","90","89","2026-06-07T19:19:43.149+00:00","2234","react_ccrs_mazeV1_04_20260607_211522.log","2423","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","91","90","2026-06-07T19:19:45.308+00:00","2159","react_ccrs_mazeV1_04_20260607_211522.log","2439","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","92","91","2026-06-07T19:19:47.673+00:00","2365","react_ccrs_mazeV1_04_20260607_211522.log","2455","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","93","92","2026-06-07T19:19:49.838+00:00","2165","react_ccrs_mazeV1_04_20260607_211522.log","2471","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","94","93","2026-06-07T19:19:52.237+00:00","2399","react_ccrs_mazeV1_04_20260607_211522.log","2487","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","95","94","2026-06-07T19:19:55.269+00:00","3032","react_ccrs_mazeV1_04_20260607_211522.log","2503","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","96","95","2026-06-07T19:19:58.240+00:00","2971","react_ccrs_mazeV1_04_20260607_211522.log","2513","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","97","96","2026-06-07T19:20:00.320+00:00","2080","react_ccrs_mazeV1_04_20260607_211522.log","2529","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","98","97","2026-06-07T19:20:02.636+00:00","2316","react_ccrs_mazeV1_04_20260607_211522.log","2545","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","99","98","2026-06-07T19:20:05.556+00:00","2920","react_ccrs_mazeV1_04_20260607_211522.log","2561","5","0","0","1","2","0"
