"batch_id","run_id","agent_name","graph_name","file","line","react_event","cycle","cycle_timestamp","strategy_id","trace_id","top_action","stop","reason","target","matched_entries","active_entries"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","609","react.ccrs.contingency.escalation.considered","18",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","610","react.ccrs.contingency.escalation.skipped","18",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","618","react.ccrs.contingency.escalation.considered","19",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","619","react.ccrs.contingency.escalation.skipped","19",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","682","react.ccrs.contingency.escalation.considered","20",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","683","react.ccrs.contingency.escalation.skipped","20",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","691","react.ccrs.contingency.escalation.considered","21",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","692","react.ccrs.contingency.escalation.skipped","21",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","755","react.ccrs.contingency.escalation.considered","22",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","756","react.ccrs.contingency.escalation.skipped","22",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","764","react.ccrs.contingency.escalation.considered","23",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","765","react.ccrs.contingency.escalation.skipped","23",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","828","react.ccrs.contingency.escalation.considered","24",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","829","react.ccrs.contingency.escalation.skipped","24",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","837","react.ccrs.contingency.escalation.considered","25",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","838","react.ccrs.contingency.escalation.skipped","25",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","901","react.ccrs.contingency.escalation.considered","26",,,,,,,,,
