"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","259","258","2026-06-07T16:02:35.035+00:00","2346","react_ccrs_mazeV1_01_20260607_174940.log","10885","8","2","2","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","260","259","2026-06-07T16:02:40.323+00:00","5288","react_ccrs_mazeV1_01_20260607_174940.log","10968","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","261","260","2026-06-07T16:02:42.429+00:00","2106","react_ccrs_mazeV1_01_20260607_174940.log","10983","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","262","261","2026-06-07T16:02:54.330+00:00","11901","react_ccrs_mazeV1_01_20260607_174940.log","10998","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","263","262","2026-06-07T16:03:00.788+00:00","6458","react_ccrs_mazeV1_01_20260607_174940.log","11013","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","264","263","2026-06-07T16:03:02.931+00:00","2143","react_ccrs_mazeV1_01_20260607_174940.log","11028","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","265","264","2026-06-07T16:03:05.566+00:00","2635","react_ccrs_mazeV1_01_20260607_174940.log","11043","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","266","265","2026-06-07T16:03:08.066+00:00","2500","react_ccrs_mazeV1_01_20260607_174940.log","11181","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","267","266","2026-06-07T16:03:10.217+00:00","2151","react_ccrs_mazeV1_01_20260607_174940.log","11196","8","2","2","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","268","267","2026-06-07T16:03:12.358+00:00","2141","react_ccrs_mazeV1_01_20260607_174940.log","11279","5","0","0","1","2","0"
