"batch_id","run_id","line","mase_run_id","type","timestamp","agent","cell","graph","transaction_id","archive_id"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","443","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393212990","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/28/12","2613","6475053"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","444","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393229062","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/26/11",,"-1","6475054"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","445","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393229065","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/26/11","2614","6475055"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","446","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393328262","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/27/11",,"-1","6475056"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","447","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393328263","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/27/11","2615","6475057"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","448","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393341115","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/28/11",,"-1","6475058"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","449","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393341115","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/28/11","2616","6475059"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","450","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393350066","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/28/12",,"-1","6475060"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","451","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393350068","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/28/12","2617","6475061"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","452","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393467923","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/28/13",,"-1","6475062"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","453","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393467924","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/28/13","2618","6475063"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","454","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393476713","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/28/14",,"-1","6475064"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","455","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393476716","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/28/14","2619","6475065"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","456","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393572725","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/28/15",,"-1","6475066"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","457","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393572726","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/28/15","2620","6475067"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","458","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393623736","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/29/15",,"-1","6475068"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","459","run-2026-06-25T12-15-53-079Z","TRANSACTION","1782393623738","react_ccrs_mazeV1_t2",,"http://127.0.1.1:8080/cells/29/15","2621","6475069"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","460","run-2026-06-25T12-15-53-079Z","AGENT_MOVED","1782393655137","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/29/16",,"-1","6475070"
