"batch_id","run_id","move_sequence","move_cell","move_timestamp","duration_ms","action_count","http_success_count","http_failure_count","get_count","post_count","status_codes"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","76","http://127.0.1.1:8080/cells/13/5","1782391301070","153951","8","7","1","7","1","201;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","77","http://127.0.1.1:8080/cells/14/5","1782391324117","23047","25","25","0","24","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","78","http://127.0.1.1:8080/cells/15/5","1782391396731","72614","8","7","1","7","1","201;200;200;200;200;200;403;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","79","http://127.0.1.1:8080/cells/15/4","1782391420159","23428","28","26","2","27","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;200;200;403;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","80","http://127.0.1.1:8080/cells/15/3","1782391506284","86125","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","81","http://127.0.1.1:8080/cells/15/2","1782391518273","11989","4","3","1","2","2","201;200;409;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","82","http://127.0.1.1:8080/cells/14/2","1782391533271","14998","31","28","3","30","1","201;200;200;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","83","http://127.0.1.1:8080/cells/15/2","1782391643743","110472","16","15","1","15","1","201;200;200;403;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","84","http://127.0.1.1:8080/cells/16/2","1782391692451","48708","26","25","1","25","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","85","http://127.0.1.1:8080/cells/16/1","1782391781627","89176","7","6","1","6","1","201;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","86","http://127.0.1.1:8080/cells/17/1","1782391806143","24516","30","30","0","29","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","87","http://127.0.1.1:8080/cells/16/1","1782391891075","84932","7","6","1","6","1","201;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","88","http://127.0.1.1:8080/cells/16/2","1782391917970","26895","29","25","4","28","1","201;200;200;200;200;200;200;403;200;200;403;200;200;200;200;403;200;200;200;200;200;200;403;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","89","http://127.0.1.1:8080/cells/15/2","1782392012758","94788","5","4","1","3","2","201;200;409;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","90","http://127.0.1.1:8080/cells/15/3","1782392037626","24868","4","3","1","3","1","201;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","91","http://127.0.1.1:8080/cells/15/4","1782392053232","15606","6","5","1","5","1","201;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","92","http://127.0.1.1:8080/cells/15/5","1782392073737","20505","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","93","http://127.0.1.1:8080/cells/15/6","1782392080563","6826","10","9","1","9","1","201;200;200;200;200;200;200;200;200;403"
