"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","8","http://127.0.1.1:8080/cells/6/2","1782389998846","215","576","2026-06-25 14:19:58,733","654","2","1","1","0","201;200","576;588","http://127.0.1.1:8080/cells/6/2;http://127.0.1.1:8080/cells/6/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","9","http://127.0.1.1:8080/cells/7/2","1782390004101","217","654","2026-06-25 14:20:04,009","798","3","2","1","0","201;200;200","654;666;732","http://127.0.1.1:8080/cells/7/2;http://127.0.1.1:8080/cells/7/2;http://127.0.1.1:8080/cells/7/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","10","http://127.0.1.1:8080/cells/7/3","1782390016682","219","798","2026-06-25 14:20:16,570","876","2","1","1","0","201;200","798;810","http://127.0.1.1:8080/cells/7/3;http://127.0.1.1:8080/cells/7/3","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","11","http://127.0.1.1:8080/cells/7/4","1782390022600","221","876","2026-06-25 14:20:22,507","1020","3","2","1","0","201;200;200","876;888;954","http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","12","http://127.0.1.1:8080/cells/8/4","1782390030213","223","1020","2026-06-25 14:20:30,103","1098","2","1","1","0","201;200","1020;1032","http://127.0.1.1:8080/cells/8/4;http://127.0.1.1:8080/cells/8/4","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","13","http://127.0.1.1:8080/cells/8/5","1782390036184","225","1098","2026-06-25 14:20:36,064","1176","2","1","1","0","201;200","1098;1110","http://127.0.1.1:8080/cells/8/5;http://127.0.1.1:8080/cells/8/5","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","14","http://127.0.1.1:8080/cells/8/6","1782390042233","227","1176","2026-06-25 14:20:42,146","1320","3","2","1","0","201;200;200","1176;1188;1254","http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","15","http://127.0.1.1:8080/cells/9/6","1782390049567","229","1320","2026-06-25 14:20:49,455","1530","4","3","1","0","201;200;200;200","1320;1332;1398;1464","http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","16","http://127.0.1.1:8080/cells/10/6","1782390059669","231","1530","2026-06-25 14:20:59,567","1608","2","1","1","0","201;200","1530;1542","http://127.0.1.1:8080/cells/10/6;http://127.0.1.1:8080/cells/10/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","17","http://127.0.1.1:8080/cells/11/6","1782390065361","233","1608","2026-06-25 14:21:05,255","2082","8","7","1","0","201;200;200;200;200;200;200;200","1608;1620;1686;1752;1818;1884;1950;2016","http://127.0.1.1:8080/cells/11/6;http://127.0.1.1:8080/cells/11/6;http://127.0.1.1:8080/cells/11/6;http://127.0.1.1:8080/cells/11/6;http://127.0.1.1:8080/cells/11/6;http://127.0.1.1:8080/cells/11/6;http://127.0.1.1:8080/cells/11/6;http://127.0.1.1:8080/cells/11/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","18","http://127.0.1.1:8080/cells/11/5","1782390085194","235","2082","2026-06-25 14:21:25,073","3497","23","22","1","1","201;200;403;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200","2082;2094;2160;2177;2243;2309;2375;2441;2507;2573;2639;2705;2771;2837;2903;2969;3035;3101;3167;3233;3299;3365;3431","http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/12/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5;http://127.0.1.1:8080/cells/11/5","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","19","http://127.0.1.1:8080/cells/12/5","1782390148796","237","3497","2026-06-25 14:22:28,702","3526","2","1","1","0","201;200","3497;3509","http://127.0.1.1:8080/cells/12/5;http://127.0.1.1:8080/cells/12/5","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","20","http://127.0.1.1:8080/cells/12/4","1782390154827","239","3526","2026-06-25 14:22:34,714","4014","29","28","1","0","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200","3526;3538;3555;3572;3589;3606;3623;3640;3657;3674;3691;3708;3725;3742;3759;3776;3793;3810;3827;3844;3861;3878;3895;3912;3929;3946;3963;3980;3997","http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4;http://127.0.1.1:8080/cells/12/4","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","21","http://127.0.1.1:8080/cells/12/3","1782390225282","241","4014","2026-06-25 14:23:45,184","4060","3","2","1","0","201;200;200","4014;4026;4043","http://127.0.1.1:8080/cells/12/3;http://127.0.1.1:8080/cells/12/3;http://127.0.1.1:8080/cells/12/3","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","22","http://127.0.1.1:8080/cells/11/3","1782390232894","243","4060","2026-06-25 14:23:52,782","4140","5","4","1","0","201;200;200;200;200","4060;4072;4089;4106;4123","http://127.0.1.1:8080/cells/11/3;http://127.0.1.1:8080/cells/11/3;http://127.0.1.1:8080/cells/11/3;http://127.0.1.1:8080/cells/11/3;http://127.0.1.1:8080/cells/11/3","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","23","http://127.0.1.1:8080/cells/10/3","1782390246469","245","4140","2026-06-25 14:24:06,357","4356","13","12","1","1","201;200;200;200;200;200;200;200;200;200;200;200;403","4140;4152;4169;4186;4203;4220;4237;4254;4271;4288;4305;4322;4339","http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/3;http://127.0.1.1:8080/cells/10/2","target_timestamp_order"
