"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v2","700-baseline","61","http://127.0.1.1:8080/cells/1/10","1782569133766","4880","1265","2026-06-27 16:05:33,688","1397","22","21","1","0","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200","1265;1271;1277;1283;1289;1295;1301;1307;1313;1319;1325;1331;1337;1343;1349;1355;1361;1367;1373;1379;1385;1391","http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","62","http://127.0.1.1:8080/cells/2/10","1782569180869","4882","1397","2026-06-27 16:06:20,792","1415","3","2","1","0","201;200;200","1397;1403;1409","http://127.0.1.1:8080/cells/2/10;http://127.0.1.1:8080/cells/2/10;http://127.0.1.1:8080/cells/2/10","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","63","http://127.0.1.1:8080/cells/2/9","1782569187553","4884","1415","2026-06-27 16:06:27,451","1427","2","1","1","0","201;200","1415;1421","http://127.0.1.1:8080/cells/2/9;http://127.0.1.1:8080/cells/2/9","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","64","http://127.0.1.1:8080/cells/3/9","1782569192310","4886","1427","2026-06-27 16:06:32,235","1439","2","1","1","0","201;200","1427;1433","http://127.0.1.1:8080/cells/3/9;http://127.0.1.1:8080/cells/3/9","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","65","http://127.0.1.1:8080/cells/4/9","1782569196960","4888","1439","2026-06-27 16:06:36,861","1457","3","2","1","0","201;200;200","1439;1445;1451","http://127.0.1.1:8080/cells/4/9;http://127.0.1.1:8080/cells/4/9;http://127.0.1.1:8080/cells/4/9","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","66","http://127.0.1.1:8080/cells/5/9","1782569204071","4890","1457","2026-06-27 16:06:44,000","1469","2","1","1","0","201;200","1457;1463","http://127.0.1.1:8080/cells/5/9;http://127.0.1.1:8080/cells/5/9","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","67","http://127.0.1.1:8080/cells/5/8","1782569211261","4892","1469","2026-06-27 16:06:48,641","1486","3","1","2","1","400;201;200","1469;1474;1480","http://127.0.1.1:8080/cells/5/8;http://127.0.1.1:8080/cells/5/8;http://127.0.1.1:8080/cells/5/8","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","68","http://127.0.1.1:8080/cells/5/7","1782569216227","4894","1486","2026-06-27 16:06:56,143","1504","3","2","1","0","201;200;200","1486;1492;1498","http://127.0.1.1:8080/cells/5/7;http://127.0.1.1:8080/cells/5/7;http://127.0.1.1:8080/cells/5/7","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","69","http://127.0.1.1:8080/cells/5/6","1782569223315","4896","1504","2026-06-27 16:07:03,234","1522","3","2","1","0","201;200;200","1504;1510;1516","http://127.0.1.1:8080/cells/5/6;http://127.0.1.1:8080/cells/5/6;http://127.0.1.1:8080/cells/5/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","70","http://127.0.1.1:8080/cells/5/5","1782569229926","4898","1522","2026-06-27 16:07:09,843","1594","12","11","1","0","201;200;200;200;200;200;200;200;200;200;200;200","1522;1528;1534;1540;1546;1552;1558;1564;1570;1576;1582;1588","http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5;http://127.0.1.1:8080/cells/5/5","target_timestamp_order"
