"batch_id","run_id","line","mase_run_id","type","timestamp","agent","cell","graph","transaction_id","archive_id"
"react-baseline-vs-ccrs-v2","700-baseline","4939","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569437962","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/11","5266","6542644"
"react-baseline-vs-ccrs-v2","700-baseline","4940","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569442933","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/10/11",,"-1","6542645"
"react-baseline-vs-ccrs-v2","700-baseline","4941","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569442948","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/10/11","5267","6542646"
"react-baseline-vs-ccrs-v2","700-baseline","4942","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569474975","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/11",,"-1","6542647"
"react-baseline-vs-ccrs-v2","700-baseline","4943","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569474984","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/11","5268","6542648"
"react-baseline-vs-ccrs-v2","700-baseline","4944","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569487059","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/12/11",,"-1","6542649"
"react-baseline-vs-ccrs-v2","700-baseline","4945","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569487062","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/12/11","5269","6542650"
"react-baseline-vs-ccrs-v2","700-baseline","4946","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569554282","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/11",,"-1","6542651"
"react-baseline-vs-ccrs-v2","700-baseline","4947","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569554287","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/11","5270","6542652"
"react-baseline-vs-ccrs-v2","700-baseline","4948","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569562103","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/10/11",,"-1","6542653"
"react-baseline-vs-ccrs-v2","700-baseline","4949","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569562108","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/10/11","5271","6542654"
"react-baseline-vs-ccrs-v2","700-baseline","4950","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569625512","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/11",,"-1","6542655"
"react-baseline-vs-ccrs-v2","700-baseline","4951","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569625515","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/11","5272","6542656"
"react-baseline-vs-ccrs-v2","700-baseline","4952","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569631397","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/12/11",,"-1","6542657"
"react-baseline-vs-ccrs-v2","700-baseline","4953","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569631400","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/12/11","5273","6542658"
"react-baseline-vs-ccrs-v2","700-baseline","4954","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569666007","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/11",,"-1","6542659"
"react-baseline-vs-ccrs-v2","700-baseline","4955","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569666009","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/11","5274","6542660"
"react-baseline-vs-ccrs-v2","700-baseline","4956","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569671805","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/10",,"-1","6542661"
"react-baseline-vs-ccrs-v2","700-baseline","4957","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569671807","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/10","5275","6542662"
"react-baseline-vs-ccrs-v2","700-baseline","4958","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569679296","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/9",,"-1","6542663"
"react-baseline-vs-ccrs-v2","700-baseline","4959","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569679307","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/9","5276","6542664"
"react-baseline-vs-ccrs-v2","700-baseline","4960","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569684296","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/8",,"-1","6542665"
"react-baseline-vs-ccrs-v2","700-baseline","4961","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569684308","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/8","5277","6542666"
"react-baseline-vs-ccrs-v2","700-baseline","4962","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569691515","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/7",,"-1","6542667"
"react-baseline-vs-ccrs-v2","700-baseline","4963","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569691517","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/7","5278","6542668"
"react-baseline-vs-ccrs-v2","700-baseline","4964","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569714054","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/6",,"-1","6542669"
"react-baseline-vs-ccrs-v2","700-baseline","4965","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569714060","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/6","5279","6542670"
"react-baseline-vs-ccrs-v2","700-baseline","4966","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782569719106","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/11/5",,"-1","6542671"
"react-baseline-vs-ccrs-v2","700-baseline","4967","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782569719108","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/11/5","5280","6542672"
