"batch_id","run_id","sequence","line","timestamp","agent","cell","path_analysis_cell"
"react-baseline-vs-ccrs-v2","700-baseline","54","4866","1782569078230","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/9","/cells/3/9"
"react-baseline-vs-ccrs-v2","700-baseline","55","4868","1782569083261","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/9","/cells/2/9"
"react-baseline-vs-ccrs-v2","700-baseline","56","4870","1782569087751","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/10","/cells/2/10"
"react-baseline-vs-ccrs-v2","700-baseline","57","4872","1782569092205","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/10","/cells/1/10"
"react-baseline-vs-ccrs-v2","700-baseline","58","4874","1782569105829","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/10","/cells/2/10"
"react-baseline-vs-ccrs-v2","700-baseline","59","4876","1782569116384","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/11","/cells/2/11"
"react-baseline-vs-ccrs-v2","700-baseline","60","4878","1782569126927","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/10","/cells/2/10"
"react-baseline-vs-ccrs-v2","700-baseline","61","4880","1782569133766","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/10","/cells/1/10"
"react-baseline-vs-ccrs-v2","700-baseline","62","4882","1782569180869","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/10","/cells/2/10"
"react-baseline-vs-ccrs-v2","700-baseline","63","4884","1782569187553","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/9","/cells/2/9"
"react-baseline-vs-ccrs-v2","700-baseline","64","4886","1782569192310","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/9","/cells/3/9"
"react-baseline-vs-ccrs-v2","700-baseline","65","4888","1782569196960","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/4/9","/cells/4/9"
"react-baseline-vs-ccrs-v2","700-baseline","66","4890","1782569204071","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/5/9","/cells/5/9"
"react-baseline-vs-ccrs-v2","700-baseline","67","4892","1782569211261","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/5/8","/cells/5/8"
"react-baseline-vs-ccrs-v2","700-baseline","68","4894","1782569216227","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/5/7","/cells/5/7"
"react-baseline-vs-ccrs-v2","700-baseline","69","4896","1782569223315","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/5/6","/cells/5/6"
"react-baseline-vs-ccrs-v2","700-baseline","70","4898","1782569229926","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/5/5","/cells/5/5"
"react-baseline-vs-ccrs-v2","700-baseline","71","4900","1782569258199","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/5/4","/cells/5/4"
